INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': '搜狗输入法 9.6正式版', 'version': '9.6.0.3568', 'vendor': 'Sogou.com'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - 搜狗输入法 9.6正式版 has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': '搜狗输入法 9.8正式版', 'version': '9.8.0.3746', 'vendor': 'Sogou.com'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - 搜狗输入法 9.8正式版 has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': '腾讯会议', 'version': '1.1.6.412', 'vendor': '腾讯科技(深圳)有限公司'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - 腾讯会议 has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': '网易有道词典', 'version': '8.6', 'vendor': '网易公司'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - 网易有道词典 has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': '微信', 'version': '2.6.8.65', 'vendor': '腾讯科技(深圳)有限公司'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - 微信 has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': '微信', 'version': '2.8.0.112', 'vendor': '腾讯科技(深圳)有限公司'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - 微信 has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': '微信', 'version': '2.9.5.56', 'vendor': '腾讯科技(深圳)有限公司'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - 微信 has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': '微信', 'version': '3.0.0.57', 'vendor': '腾讯科技(深圳)有限公司'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - 微信 has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': '向日葵', 'version': '10.1.0.21786', 'vendor': '上海贝锐信息科技股份有限公司'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - 向日葵 has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': '银联安全控件非插件版 1.0.0.5', 'version': '1.0.0.5', 'vendor': '中国银联股份有限公司'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - 银联安全控件非插件版 1.0.0.5 has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': '印象笔记 v. 6.19.12', 'version': '6.19.12.1433', 'vendor': 'Beijing Yinxiang Biji Technologies Co., Ltd.'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - 印象笔记 v. 6.19.12 has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'ActivePerl 5.26.3 Build 0000 (64-bit)', 'version': '5.26.0000', 'vendor': 'ActiveState'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - ActivePerl 5.26.3 Build 0000 (64-bit) has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Adobe Acrobat Reader DC - Chinese Simplified', 'version': '19.008.20071', 'vendor': 'Adobe Systems Incorporated'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Adobe Acrobat Reader DC - Chinese Simplified has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Adobe Acrobat Reader DC - Chinese Simplified', 'version': '20.009.20067', 'vendor': 'Adobe Systems Incorporated'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Adobe Acrobat Reader DC - Chinese Simplified has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Adobe Acrobat Reader DC - Chinese Simplified', 'version': '20.009.20074', 'vendor': 'Adobe Systems Incorporated'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Adobe Acrobat Reader DC - Chinese Simplified has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Adobe Acrobat Reader DC - Chinese Simplified', 'version': '20.012.20048', 'vendor': 'Adobe Systems Incorporated'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Adobe Acrobat Reader DC - Chinese Simplified has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Adobe Acrobat Reader DC - Chinese Simplified', 'version': '20.013.20064', 'vendor': 'Adobe Systems Incorporated'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Adobe Acrobat Reader DC - Chinese Simplified has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Adobe Flash Player 32 PPAPI', 'version': '32.0.0.101', 'vendor': 'Adobe Systems Incorporated'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Adobe Flash Player 32 PPAPI has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Adobe Flash Player 32 PPAPI', 'version': '32.0.0.387', 'vendor': 'Adobe'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Adobe Flash Player 32 PPAPI has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Adobe Flash Player 32 PPAPI', 'version': '32.0.0.403', 'vendor': 'Adobe'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Adobe Flash Player 32 PPAPI has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Adobe Flash Player 33 NPAPI', 'version': '33.0.0.413', 'vendor': 'Adobe'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Adobe Flash Player 33 NPAPI has a record
INFO | 2020-11-14 11:05:03 | nvd_spider.py:230 - before handle app info: {'product': 'Adobe Reader XI (11.0.23) - Chinese Simplified', 'version': '11.0.23', 'vendor': 'Adobe Systems Incorporated'}
INFO | 2020-11-14 11:05:03 | nvd_spider.py:214 - Adobe Reader XI (11.0.23) - Chinese Simplified has a record
